OPCODE;MAINOUTITEMCODE;PRODQTY;REMAINQTY;PRODSTART;PRODEND;MAINRESOURCE;MASTEROPCODE;DEPARTMENT;PREVOPCODE;NEXTOPCODE
"I_031.12.02.0000:10";"031.12.02.0000";"5.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_031.14.00.0010:10";"031.14.00.0010";"12.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_031.15.00.0001A:10";"031.15.00.0001A";"10.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_031.18.00.0050:10";"031.18.00.0050";"2.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_031.27.00.0020:10";"031.27.00.0020";"9.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_031.29.07.0010A:10";"031.29.07.0010A";"1.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_033.00.00.0050:10";"033.00.00.0050";"6.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_033.04.01.0050B:10";"033.04.01.0050B";"2.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_076.01.00.0010B:10";"076.01.00.0010B";"2.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_083.01.00.2000A:10";"083.01.00.2000A";"5.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_083.02.00.1010B:10";"083.02.00.1010B";"2.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_083.03.00.1020B:10";"083.03.00.1020B";"5.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_083.06.00.0010:10";"083.06.00.0010";"2.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_095.01.01.0020B:10";"095.01.01.0020B";"12.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_095.01.02.1010B:10";"095.01.02.1010B";"2.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_095.01.03.0070B:10";"095.01.03.0070B";"44.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_096.00.00.0230:10";"096.00.00.0230";"2.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_096.01.00.0170:10";"096.01.00.0170";"10.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_096.02.00.0090:10";"096.02.00.0090";"2.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
